Word 1,Word 2,Human Score,Similarity (CBOW),Similarity (SkipGram),Similarity (SVD)
admission,ticket,5.536,0.023815544322133064,0.23714719712734222,-0.014570294879376888
alcohol,chemistry,4.125,0.08306337147951126,0.3313656449317932,0.11310357600450516
aluminum,metal,6.625,0.21211981773376465,0.2349914014339447,0.19018200039863586
announcement,effort,2.0625,0.09663877636194229,0.1490311175584793,0.013907318003475666
announcement,news,7.1875,0.06801063567399979,0.22807063162326813,0.17794862389564514
announcement,production,1.6875,0.03357096016407013,0.23061271011829376,-0.030011333525180817
announcement,warning,4.625,-0.03410552442073822,0.13337892293930054,0.06518816947937012
Arafat,Jackson,1.0,,,
Arafat,peace,2.125,,,
Arafat,terror,3.0625,,,
architecture,century,1.929,-0.004101495258510113,0.16901075839996338,0.00034091874840669334
arrangement,accommodation,5.125,,,
arrival,hotel,2.1875,0.060107775032520294,0.23309430480003357,0.10405546426773071
asylum,madhouse,8.0625,,,
atmosphere,landscape,3.5625,0.005571860354393721,0.18109217286109924,0.0901128500699997
attempt,peace,0.9375,0.10818837583065033,0.22476498782634735,-0.0036675932351499796
baby,mother,5.25,0.01912849396467209,0.290715754032135,0.11952875554561615
bank,money,6.625,-0.013188145123422146,0.1540316939353943,0.03604888170957565
baseball,season,3.2565,0.10916414111852646,0.33635643124580383,0.23777930438518524
bed,closet,2.25,0.07784618437290192,0.25190410017967224,0.1983422487974167
benchmark,index,5.5,,,
bird,cock,5.875,0.1417883038520813,0.37155991792678833,0.32992878556251526
bird,crane,4.8125,0.06247821822762489,0.23395401239395142,-0.010455824434757233
bishop,rabbi,5.375,0.10233117640018463,0.2805098295211792,0.1026603952050209
board,recommendation,1.25,0.19366197288036346,0.3966576159000397,0.293406218290329
book,library,5.3125,0.16568022966384888,0.22550344467163086,0.0776272714138031
book,paper,5.875,0.06646362692117691,0.12754015624523163,0.20018739998340607
boxing,round,4.1875,,,
boy,lad,7.844,0.07008368521928787,0.25530439615249634,0.1861259937286377
bread,butter,4.1875,0.37025222182273865,0.4163585305213928,0.3163604438304901
brother,monk,4.25,0.07767581194639206,0.22652332484722137,-0.05750736594200134
calculation,computation,8.0565,0.034626562148332596,0.20834997296333313,-0.10284383594989777
canyon,landscape,5.25,0.13718317449092865,0.21600890159606934,0.08585283905267715
car,automobile,9.369,0.03864148631691933,0.2530425190925598,0.14038892090320587
car,flight,2.4375,0.07664898782968521,0.18267734348773956,0.04809295013546944
cell,phone,6.25,0.08161275833845139,0.19289584457874298,0.019705891609191895
cemetery,woodland,2.3125,,,
century,nation,2.1875,0.11272211372852325,0.21285942196846008,0.11648919433355331
century,year,4.0,0.11382226645946503,0.16332760453224182,0.07165322452783585
championship,tournament,7.5,0.1303887516260147,0.36048799753189087,0.08477578312158585
chance,credibility,2.163,,,
change,attitude,3.375,0.16301211714744568,0.24813255667686462,0.014378508552908897
chord,smile,0.8125,0.03730868548154831,0.23702414333820343,0.0867113545536995
closet,clothes,4.625,0.1554793119430542,0.3806621730327606,0.07151029258966446
coast,forest,2.125,0.1068408265709877,0.23721405863761902,0.015406773425638676
coast,hill,2.3125,0.16729040443897247,0.16508065164089203,0.13291063904762268
coast,shore,8.2755,0.18308331072330475,0.2987014353275299,0.23587903380393982
company,stock,3.75,0.10859998315572739,0.2097795605659485,0.11954738199710846
competition,price,3.0,0.2462829202413559,0.2927136719226837,0.2232903391122818
computer,internet,6.125,,,
computer,keyboard,5.9375,,,
computer,laboratory,3.375,0.08097901195287704,0.22101184725761414,-0.012583432719111443
computer,news,1.6875,-0.06464722007513046,0.22702835500240326,0.029802290722727776
computer,software,6.1875,,,
concert,virtuoso,3.6875,,,
consumer,confidence,1.6875,-0.0755913108587265,0.12986178696155548,-0.03256232291460037
consumer,energy,2.75,0.02234659157693386,0.2007235437631607,0.024628277868032455
country,citizen,4.3125,0.11988420784473419,0.2174464911222458,0.1361980438232422
crane,implement,2.125,,,
credit,card,4.5625,0.004925522953271866,0.1817070096731186,-0.01760144904255867
credit,information,3.644,0.15065425634384155,0.26670944690704346,0.1628538817167282
cucumber,potato,4.0625,,,
cup,article,1.3125,0.024041591212153435,0.15265865623950958,-0.007317268289625645
cup,artifact,2.5,,,
cup,coffee,5.0625,0.4939948618412018,0.4662255048751831,0.6365488171577454
cup,drink,4.75,0.18148963153362274,0.2478368729352951,0.32341694831848145
cup,entity,1.375,0.07683774828910828,0.26209425926208496,0.0564349964261055
cup,food,1.875,0.01628430001437664,0.18536528944969177,0.07791415601968765
cup,liquid,3.75,0.05787096917629242,0.16081590950489044,-0.050654325634241104
cup,object,4.25,0.04286825284361839,0.11535116285085678,-0.032714761793613434
cup,substance,1.9375,-0.04503656178712845,0.24020925164222717,-0.007622614968568087
cup,tableware,6.0,,,
currency,market,4.3125,0.13931767642498016,0.3059392273426056,0.13190585374832153
day,dawn,4.625,0.03145207464694977,0.23457235097885132,0.050154149532318115
day,summer,3.125,0.11619379371404648,0.2495531141757965,0.18253980576992035
death,inmate,1.944,,,
death,row,1.6875,0.02671031653881073,0.19903333485126495,0.22441890835762024
decoration,valor,3.25,,,
